video_id,path,language,condition,duration_seconds,authorization_basis,authorization_reference
en-normal-01,/REPLACE/en-normal-01.mp4,en,normal_face,,self_recorded,REPLACE-consent-or-license-reference
en-normal-02,/REPLACE/en-normal-02.mp4,en,normal_face,,self_recorded,REPLACE-consent-or-license-reference
en-noface-01,/REPLACE/en-noface-01.mp4,en,no_face,,self_recorded,REPLACE-consent-or-license-reference
en-noface-02,/REPLACE/en-noface-02.mp4,en,no_face,,self_recorded,REPLACE-consent-or-license-reference
en-noise-01,/REPLACE/en-noise-01.mp4,en,background_noise,,self_recorded,REPLACE-consent-or-license-reference
en-noise-02,/REPLACE/en-noise-02.mp4,en,background_noise,,self_recorded,REPLACE-consent-or-license-reference
en-multicut-01,/REPLACE/en-multicut-01.mp4,en,multi_cut,,self_recorded,REPLACE-consent-or-license-reference
en-multicut-02,/REPLACE/en-multicut-02.mp4,en,multi_cut,,self_recorded,REPLACE-consent-or-license-reference
en-fast-01,/REPLACE/en-fast-01.mp4,en,accent_fast_change,,self_recorded,REPLACE-consent-or-license-reference
en-fast-02,/REPLACE/en-fast-02.mp4,en,accent_fast_change,,self_recorded,REPLACE-consent-or-license-reference
zh-normal-01,/REPLACE/zh-normal-01.mp4,zh,normal_face,,self_recorded,REPLACE-consent-or-license-reference
zh-normal-02,/REPLACE/zh-normal-02.mp4,zh,normal_face,,self_recorded,REPLACE-consent-or-license-reference
zh-noface-01,/REPLACE/zh-noface-01.mp4,zh,no_face,,self_recorded,REPLACE-consent-or-license-reference
zh-noface-02,/REPLACE/zh-noface-02.mp4,zh,no_face,,self_recorded,REPLACE-consent-or-license-reference
zh-noise-01,/REPLACE/zh-noise-01.mp4,zh,background_noise,,self_recorded,REPLACE-consent-or-license-reference
zh-noise-02,/REPLACE/zh-noise-02.mp4,zh,background_noise,,self_recorded,REPLACE-consent-or-license-reference
zh-multicut-01,/REPLACE/zh-multicut-01.mp4,zh,multi_cut,,self_recorded,REPLACE-consent-or-license-reference
zh-multicut-02,/REPLACE/zh-multicut-02.mp4,zh,multi_cut,,self_recorded,REPLACE-consent-or-license-reference
zh-fast-01,/REPLACE/zh-fast-01.mp4,zh,accent_fast_change,,self_recorded,REPLACE-consent-or-license-reference
zh-fast-02,/REPLACE/zh-fast-02.mp4,zh,accent_fast_change,,self_recorded,REPLACE-consent-or-license-reference
