variant,dataset,seed_count,weighted_f1_mean,macro_f1_mean,accuracy_mean,weighted_f1_std,macro_f1_std,accuracy_std,weighted_f1_delta_vs_full,macro_f1_delta_vs_full,accuracy_delta_vs_full
no_language,meld,3,0.582905009467,0.398565282132,0.582630906769,0.017455998847,0.018345129308,0.017475352975,-0.003299966889,0.002657069894,-0.008429118774
no_language,emotiontalk,3,0.621689954434,0.554113407464,0.614135130465,0.012430371374,0.00502983129,0.012072603058,0.004935576558,0.005817060296,0.003628823225
no_language,bilingual_average,3,0.602297481951,0.476339344798,0.598383018617,0.005145318061,0.007267590668,0.004972744773,0.000817804835,0.004237065094,-0.002400147775
no_gates,meld,3,0.585774377469,0.395550202753,0.584035759898,0.003414823637,0.005950123937,0.008184658988,-0.000430598887,-0.000358009485,-0.007024265645
no_gates,emotiontalk,3,0.617492656383,0.544566467892,0.611543113876,0.004812013393,0.007926632102,0.013689512577,0.000738278507,-0.003729879276,0.001036806636
no_gates,bilingual_average,3,0.601633516926,0.470058335323,0.597789436887,0.001341472415,0.005280934868,0.007935293302,0.00015383981,-0.002043944381,-0.002993729505
no_context,meld,3,0.583971562114,0.395058717356,0.59067688378,0.011003218942,0.01132812747,0.019650105526,-0.002233414242,-0.000849494882,-0.000383141763
no_context,emotiontalk,3,0.591280524572,0.51128420121,0.58717815794,0.002706237967,0.006229887542,0.004222150241,-0.025473853304,-0.037012145958,-0.0233281493
no_context,bilingual_average,3,0.587626043343,0.453171459283,0.58892752086,0.004317501763,0.005417345654,0.010638937857,-0.013853633773,-0.018930820421,-0.011855645532
no_quality,meld,3,0.585110053266,0.395159705991,0.589910600255,0.00859204546,0.004645880603,0.014988304642,-0.00109492309,-0.000748506247,-0.001149425288
no_quality,emotiontalk,3,0.617171600695,0.548718132446,0.611024710558,0.015349905333,0.009415511658,0.016330390214,0.000417222819,0.000421785278,0.000518403318
no_quality,bilingual_average,3,0.60114082698,0.471938919218,0.600467655407,0.011970919128,0.00693881983,0.015618127895,-0.000338850136,-0.000163360486,-0.000315510985
no_modality_dropout,meld,3,0.586165855511,0.396003987705,0.587994891443,0.005575510158,0.011640756161,0.008039893096,-3.9120845e-05,9.5775467e-05,-0.0030651341
no_modality_dropout,emotiontalk,3,0.601814613127,0.529449791064,0.598583030931,0.019089135843,0.013448376921,0.018418522865,-0.014939764749,-0.018846556104,-0.011923276309
no_modality_dropout,bilingual_average,3,0.593990234319,0.462726889385,0.593288961187,0.008679986173,0.003240352125,0.009383149103,-0.007489442797,-0.009375390319,-0.007494205205
no_perturbation_training,meld,3,0.58612243142,0.389859921588,0.584802043423,0.010380347053,0.005758981504,0.021840200729,-8.2544936e-05,-0.00604829065,-0.00625798212
no_perturbation_training,emotiontalk,3,0.606916264412,0.549930298524,0.59650941766,0.035681302283,0.027568581535,0.035313629948,-0.009838113464,0.001633951356,-0.01399688958
no_perturbation_training,bilingual_average,3,0.596519347916,0.469895110056,0.590655730542,0.022918764807,0.0109137029,0.028560625719,-0.0049603292,-0.002207169648,-0.01012743585
