comparison_scope,full_model,comparator,dataset,seed_count,cluster_bootstrap_iterations,weighted_f1_delta_full_minus_comparator,ci95_lower,ci95_upper,supports_full,cluster_count_min,cluster_count_max
formal,quality_lagf,early_mlp,meld,3,2000,0.005079457741,-0.004030385177,0.014249605782,False,280,280
formal,quality_lagf,early_mlp,emotiontalk,3,2000,0.024780591279,0.011504172736,0.036365050523,True,84,84
formal,quality_lagf,early_mlp,bilingual_average,3,2000,0.01493002451,0.006688939211,0.022001189175,True,84,280
formal,quality_lagf,early_context,meld,3,2000,0.005021092265,-0.003994837896,0.014380779787,False,280,280
formal,quality_lagf,early_context,emotiontalk,3,2000,0.005805253346,-0.009941454696,0.021715682391,False,84,84
formal,quality_lagf,early_context,bilingual_average,3,2000,0.005413172805,-0.003535284324,0.014954520402,False,84,280
formal,quality_lagf,lagf_no_gates,meld,3,2000,0.00038101689,-0.007587823613,0.007907725038,False,280,280
formal,quality_lagf,lagf_no_gates,emotiontalk,3,2000,0.001399950235,-0.010255196808,0.013393382476,False,84,84
formal,quality_lagf,lagf_no_gates,bilingual_average,3,2000,0.000890483562,-0.006031147324,0.007911602411,False,84,280
ablation,quality_lagf,no_language,meld,3,2000,0.003299966889,-0.004445783599,0.010821146358,False,280,280
ablation,quality_lagf,no_language,emotiontalk,3,2000,-0.004935576558,-0.015946494027,0.005097249546,False,84,84
ablation,quality_lagf,no_language,bilingual_average,3,2000,-0.000817804835,-0.00755766527,0.005381768449,False,84,280
ablation,quality_lagf,no_gates,meld,3,2000,0.000430598887,-0.00795988099,0.008932923364,False,280,280
ablation,quality_lagf,no_gates,emotiontalk,3,2000,-0.000738278507,-0.012328635184,0.010490282032,False,84,84
ablation,quality_lagf,no_gates,bilingual_average,3,2000,-0.00015383981,-0.007378739396,0.006685101056,False,84,280
ablation,quality_lagf,no_context,meld,3,2000,0.002233414242,-0.00667602594,0.010347854962,False,280,280
ablation,quality_lagf,no_context,emotiontalk,3,2000,0.025473853304,0.011514488995,0.038896877416,True,84,84
ablation,quality_lagf,no_context,bilingual_average,3,2000,0.013853633773,0.005488232329,0.021570982033,True,84,280
ablation,quality_lagf,no_quality,meld,3,2000,0.00109492309,0.000203987279,0.002010024425,True,280,280
ablation,quality_lagf,no_quality,emotiontalk,3,2000,-0.000417222818,-0.001651188503,0.000815239819,False,84,84
ablation,quality_lagf,no_quality,bilingual_average,3,2000,0.000338850136,-0.000435102181,0.001125832248,False,84,280
ablation,quality_lagf,no_modality_dropout,meld,3,2000,3.9120844e-05,-0.007867504408,0.00803667469,False,280,280
ablation,quality_lagf,no_modality_dropout,emotiontalk,3,2000,0.014939764749,0.003377707329,0.026326809183,True,84,84
ablation,quality_lagf,no_modality_dropout,bilingual_average,3,2000,0.007489442797,0.000189545024,0.014452787648,True,84,280
ablation,quality_lagf,no_perturbation_training,meld,3,2000,8.2544936e-05,-0.008077126548,0.008143416318,False,280,280
ablation,quality_lagf,no_perturbation_training,emotiontalk,3,2000,0.009838113464,-0.002371971607,0.021604494933,False,84,84
ablation,quality_lagf,no_perturbation_training,bilingual_average,3,2000,0.0049603292,-0.002129746938,0.011724457379,False,84,280
