dataset,true_label,predicted_label,row_normalized_rate
meld,neutral,neutral,0.7622080679405521
meld,neutral,joy,0.04485138004246284
meld,neutral,sadness,0.053078556263269634
meld,neutral,anger,0.044585987261146494
meld,neutral,surprise,0.06528662420382166
meld,neutral,fear,0.01884288747346072
meld,neutral,disgust,0.011146496815286623
meld,joy,neutral,0.2678275290215589
meld,joy,joy,0.4593698175787728
meld,joy,sadness,0.04311774461028192
meld,joy,anger,0.08623548922056384
meld,joy,surprise,0.1252072968490879
meld,joy,fear,0.01243781094527363
meld,joy,disgust,0.005804311774461029
meld,sadness,neutral,0.3397435897435897
meld,sadness,joy,0.05128205128205129
meld,sadness,sadness,0.2868589743589744
meld,sadness,anger,0.15224358974358976
meld,sadness,surprise,0.09294871794871795
meld,sadness,fear,0.06570512820512821
meld,sadness,disgust,0.01121794871794872
meld,anger,neutral,0.2144927536231884
meld,anger,joy,0.0676328502415459
meld,anger,sadness,0.057004830917874394
meld,anger,anger,0.48405797101449277
meld,anger,surprise,0.13140096618357489
meld,anger,fear,0.03091787439613526
meld,anger,disgust,0.014492753623188406
meld,surprise,neutral,0.16132858837485173
meld,surprise,joy,0.0830367734282325
meld,surprise,sadness,0.034400948991696316
meld,surprise,anger,0.12336892052194544
meld,surprise,surprise,0.5741399762752075
meld,surprise,fear,0.01542111506524318
meld,surprise,disgust,0.00830367734282325
meld,fear,neutral,0.32666666666666666
meld,fear,joy,0.08
meld,fear,sadness,0.10000000000000002
meld,fear,anger,0.20666666666666667
meld,fear,surprise,0.12000000000000001
meld,fear,fear,0.16
meld,fear,disgust,0.006666666666666667
meld,disgust,neutral,0.40196078431372556
meld,disgust,joy,0.02941176470588235
meld,disgust,sadness,0.05392156862745098
meld,disgust,anger,0.2549019607843137
meld,disgust,surprise,0.14705882352941177
meld,disgust,fear,0.04411764705882353
meld,disgust,disgust,0.06862745098039215
emotiontalk,neutral,neutral,0.6504369538077404
emotiontalk,neutral,joy,0.07698709945900957
emotiontalk,neutral,sadness,0.0357885975863504
emotiontalk,neutral,anger,0.04535996670828132
emotiontalk,neutral,surprise,0.06533499791926757
emotiontalk,neutral,fear,0.03079483978360383
emotiontalk,neutral,disgust,0.09529754473574699
emotiontalk,joy,neutral,0.14905149051490515
emotiontalk,joy,joy,0.7479674796747968
emotiontalk,joy,sadness,0.016260162601626018
emotiontalk,joy,anger,0.005420054200542006
emotiontalk,joy,surprise,0.03523035230352304
emotiontalk,joy,fear,0.02439024390243903
emotiontalk,joy,disgust,0.021680216802168018
emotiontalk,sadness,neutral,0.2384823848238482
emotiontalk,sadness,joy,0.08943089430894309
emotiontalk,sadness,sadness,0.46070460704607047
emotiontalk,sadness,anger,0.08130081300813008
emotiontalk,sadness,surprise,0.010840108401084013
emotiontalk,sadness,fear,0.07046070460704607
emotiontalk,sadness,disgust,0.04878048780487806
emotiontalk,anger,neutral,0.08259587020648967
emotiontalk,anger,joy,0.024582104228121928
emotiontalk,anger,sadness,0.003933136676499509
emotiontalk,anger,anger,0.6538839724680433
emotiontalk,anger,surprise,0.05211406096361848
emotiontalk,anger,fear,0.025565388397246803
emotiontalk,anger,disgust,0.15732546705998032
emotiontalk,surprise,neutral,0.2732919254658385
emotiontalk,surprise,joy,0.08902691511387163
emotiontalk,surprise,sadness,0.008281573498964802
emotiontalk,surprise,anger,0.07039337474120083
emotiontalk,surprise,surprise,0.43271221532091103
emotiontalk,surprise,fear,0.07453416149068322
emotiontalk,surprise,disgust,0.051759834368530024
emotiontalk,fear,neutral,0.208
emotiontalk,fear,joy,0.06666666666666667
emotiontalk,fear,sadness,0.005333333333333333
emotiontalk,fear,anger,0.13333333333333333
emotiontalk,fear,surprise,0.042666666666666665
emotiontalk,fear,fear,0.504
emotiontalk,fear,disgust,0.04
emotiontalk,disgust,neutral,0.20895522388059704
emotiontalk,disgust,joy,0.09950248756218905
emotiontalk,disgust,sadness,0.0
emotiontalk,disgust,anger,0.10696517412935323
emotiontalk,disgust,surprise,0.04477611940298507
emotiontalk,disgust,fear,0.07960199004975124
emotiontalk,disgust,disgust,0.46019900497512434
