model,condition,runs,weighted_f1_mean,weighted_f1_std,macro_f1_mean,macro_f1_std,accuracy_mean,accuracy_std,delta_from_standard
no_gates,standard,3,0.6016335169259013,0.0013414724139653,0.4700583353225344,0.0052809348679786,0.5977894368868788,0.0079352933023175,0.0
no_gates,audio_snr_20db,3,0.5973033978309267,0.0072655917292362,0.4526293595888921,0.0114387000262791,0.6056553630908755,0.0065205467461219,-0.0043301190949746
no_gates,audio_snr_10db,3,0.5920847051093064,0.0037547528290317,0.4488102211427654,0.0040990474274482,0.5971470934655361,0.0052956442647118,-0.0095488118165948
no_gates,video_frame_drop_25pct,3,0.577232422266948,0.0080594812510343,0.4542856168797898,0.0066210839172859,0.5737212221606494,0.0078701610957832,-0.0244010946589532
no_gates,video_frame_drop_50pct,3,0.5778441570207472,0.012141265418994,0.4545173237165923,0.0069433163354224,0.5728608911372896,0.0139157209342694,-0.023789359905154
no_gates,whisper_text,3,0.5547003384777845,0.00453597054416,0.4222450016312758,0.0070183533796175,0.5591366101984431,0.0043329986303231,-0.0469331784481167
no_gates,missing-text,3,0.4826049887107622,0.0109589377316823,0.3500716288114515,0.0053242445083691,0.482668049075514,0.0206308583232544,-0.119028528215139
no_gates,missing-audio,3,0.5567346538135504,0.0036501295331992,0.4307422626425127,0.0090637700126682,0.5513371230403461,0.0030655452501971,-0.0448988631123509
no_gates,missing-vision,3,0.5673874435913117,0.0071150099057627,0.447596051141665,0.0056089401924159,0.5631693311802713,0.0115675684656137,-0.0342460733345896
quality_lagf,standard,3,0.6014796771161465,0.0112413477904984,0.4721022797031999,0.0062962214574671,0.6007831663915753,0.0147446886124742,0.0
quality_lagf,audio_snr_20db,3,0.5890389832431996,0.0089398169094431,0.444050710132835,0.0041092841599217,0.6025972800708682,0.0155819634891585,-0.0124406938729468
quality_lagf,audio_snr_10db,3,0.5808005090677377,0.0186892584549579,0.4364456628733887,0.0125156838461916,0.5902085331966814,0.0250519726458257,-0.0206791680484087
quality_lagf,video_frame_drop_25pct,3,0.5870921838050006,0.0168167359613227,0.4636303335172418,0.013753655459376,0.5857156051315969,0.0186965966629321,-0.0143874933111458
quality_lagf,video_frame_drop_50pct,3,0.5851390473690258,0.0051558363649792,0.4578188329664003,0.0041678763163956,0.5837020750036248,0.0087797435924484,-0.0163406297471206
quality_lagf,whisper_text,3,0.5576028246039858,0.0131137887705108,0.4267180556542813,0.0102680281043082,0.5664128278007187,0.0163847498135608,-0.0438768525121606
quality_lagf,missing-text,3,0.4737589989723165,0.0097747285830982,0.3381407680617869,0.0035008311647448,0.4710866011611439,0.0155053126503295,-0.1277206781438299
quality_lagf,missing-audio,3,0.5663723917989406,0.0164985488936826,0.4340488465047465,0.0124423654510041,0.5674331488135317,0.0227400912961325,-0.0351072853172058
quality_lagf,missing-vision,3,0.5746298891559593,0.0088056046926268,0.4538409855932644,0.0059644023909014,0.5723464602587249,0.0133980328934109,-0.0268497879601872
